BSL Word,Japanese Translate,Pronunciation(IPA),Explanation
turmoil,騒ぎ,ˈtɜrˌmɔɪl,
turnover,売上高,ˈtɜrˌnoʊvər,
ultimate,究極,ˈʌltəmət,
unauthorized,不正,əˈnɔθəˌraɪzd,
uncertain,不確実,ənˈsɜrtən,
unchanged,変更なし,ənˈʧeɪnʤd,
uncover,ふたをとる；身につけたものを脱ぐ；暴露する,ənˈkʌvər,
underestimate,過小評価,ˈʌndəˈrɛstəmət,
underground,地下,ˈʌndərˌgraʊnd,
undermine,ひそかに傷つける；阻む,ˈʌndərˌmaɪn,
underpin,支える,ˈʌndərˌpɪn,
undervalue,過小評価,ˈʌndərˌvælju,
underwrite,引き受ける,ˈʌndərˌraɪt,
underwriter,引受,ˈʌndərˌraɪtər,
undoubtedly,きっと,ənˈdaʊtɪdli,
unemployed,失業者,ˌʌnɛmˈplɔɪd,
unexpected,予想外,ˌʌnɪkˈspɛktɪd,
unexpectedly,意外と,ˌʌnɪkˈspɛktɪdli,
unfair,不公平な；不正な,ənˈfɛr,
unfavorable,不利,ˌʌnˈfeɪvərəbəl,
unhappy,不幸,ənˈhæpi,
unify,統一,ˈjunəˌfaɪ,
unity,"単一(性),統一,統合；団結；一貫性；一致；調和",ˈjunəti,
unlimited,無制限,ənˈlɪmətəd,
unnecessary,不要,ənˈnɛsəˌsɛri,
unpaid,未払い,ənˈpeɪd,
unpopular,不人気,ˌʌnˈpɑpjələr,
unprecedented,未曾有,ənˈprɛsɪˌdɛntɪd,
unpredictable,予測不可能な,ˌʌnprɪˈdɪktəbəl,
unrelated,無関係,ˌʌnrɪˈleɪtɪd,
unsecured,無担保の; 施錠されていない,ˌʌnsɪˈkjʊrd,
unusually,異常,ənˈjuʒˌuəli,
unveil,"を初公開する, 明らかにする；の除幕(式)を行う；ベール（覆い）を取る；正体を現す",ənˈveɪl,
unwilling,不本意,ənˈwɪlɪŋ,
upgrade,アップグレード,əpˈgreɪd,
upward,上向きに,ˈʌpwərd,
uranium,ウラン,jəˈreɪniəm,
urgent,緊急,ˈɜrʤənt,
usage,使用法,ˈjusəʤ,
utility,公共事業体；有用；役に立つもの,juˈtɪləti,
utilization,利用,ˌjutələˈzeɪʃən,
utilize,利用する；活用する,ˈjutəˌlaɪz,
vacation,休暇,veɪˈkeɪʃən,
vaccine,ワクチン,ˌvækˈsin,
vague,あいまい,veɪg,
valid,妥当,ˈvæləd,
validity,有効,vəˈlɪdəti,
valuation,評価,væljuˈeɪʃən,
variability,変動,vɛriəˈbɪlɪti,
variance,分散,ˈvɛriəns,
vector,ベクトル；方向量；病原菌媒介生物,ˈvɛktər,
vendor,物売り；製造販売会社,ˈvɛndər,
verbal,口頭,ˈvɜrbəl,
verdict,評決,ˈvɜrdɪkt,
verify,確認,ˈvɛrəˌfaɪ,
vertical,垂直,ˈvɜrtɪkəl,
vest,ベスト；チョッキ,vɛst,
veto,拒否,ˈvitoʊ,
viable,実現可能な；実行可能な：成功の見込める；成長可能な；生存可能な,ˈvaɪəbəl,
viewer,見るひと；検査官；ビューア,ˈvjuər,
violate,違反する,ˈvaɪəleɪt,
violation,違反,vaɪəˈleɪʃən,
virtual,実質上の；仮想の,ˈvɜrʧuəl,
virtue,美徳,ˈvɜrʧu,
visa,ビザ；査証；査証する,ˈvizə,
void,無効な；空虚な；あいた；効果のない；虚空；喪失感；欠如；無効にする；からにする,vɔɪd,
volatile,揮発性,ˈvɑlətəl,
volatility,揮発度,ˌvɑləˈtɪləti,
voucher,伝票,ˈvaʊʧər,
vow,誓い,vaʊ,
vulnerable,脆弱,ˈvʌlnərəbəl,
warehouse,倉庫,ˈwɛrˌhaʊs,
warrant,令状,ˈwɔrənt,
warranty,保証,ˈwɔrənti,
wary,警戒している,ˈwɛri,
weaken,弱める；弱体化する,ˈwikən,
website,ウェブサイト,ˈwɛbˌsaɪt,
wheat,小麦,wit,
whereby,これにより,wɛrˈbaɪ,
wholesale,卸し,ˈhoʊlˌseɪl,
wholesaler,卸売業者,ˈhoʊlˌseɪlər,
wholly,全く,ˈhoʊli,
widen,広げる,ˈwaɪdən,
widespread,広範,ˈwaɪdˈsprɛd,
willingness,意欲,ˈwɪlɪŋnəs,
wireless,無線,ˈwaɪrlɪs,
wisdom,知恵,ˈwɪzdəm,
withdrawal,撤退,wɪðˈdrɔəl,
withhold,差し控える,wɪθˈhoʊld,
woe,悲哀,woʊ,
workforce,労働力,ˈwɜrkˌfɔrs,
workplace,職場,ˈwɜrkˌpleɪs,
worksheet,練習問題；作業の進行表,ˈwɜrkˌʃit,
workshop,工房,ˈwɜrkˌʃɑp,
worldwide,世界的に,ˈwɜrlˈdwaɪd,
worsen,さらに悪くなる；悪化する,ˈwɜrsən,
worthwhile,やりがいのある,ˈwɜrˈθwaɪl,
worthy,ふさわしい,ˈwɜrði,
yearly,毎年,ˈjɪrli,
yen,円,jɛn,
yuan,元,juˈɑn,
